URI,dcdtr:elementName,skos:prefLabel,dct:description,dcdtr:meaning,dcdtr:containerObject,dcdtr:dataType,dcdtr:valueDomain,dcdtr:unitOfMeasure,source
class/attribute/discharge,Discharge,Discharge,Average measured volume of water per unit of time.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/dischargethickness-m,DischargeThickness_m,Discharge Thickness m,Report estimated discharge thickness here; reported in decimal meter units. Discharge is measured by a volume (length [or distance traveled] x thickness) of water to pass through a cross section area.,,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/dischargeunits,DischargeUnits,Discharge Units,"Units for flow rate, either gallons per minute (gpm) or liters per minute (lpm).",,,def/primitive-type/term,class/value-domain/units-of-measurement-terms,,
class/attribute/displacement,Displacement,Displacement,Text description of displacement across the feature identified by the FeatureURI,,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/displayname,DisplayName,Display Name,"The label for portraying the feature identified by the HeaderURI on a map. A label may be the APINo (preferred), an OtherID or the WellName.",,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/dominantformationname,DominantFormationName,Dominant Formation Name,Name of geologic formation with the largest thickness in area of interest.,,,def/primitive-type/string,class/value-domain/name-string,,
class/attribute/drilleddepth-ft,DrilledDepth_ft,Drilled Depth ft,"Length of borehole from borehole origin to bottom of borehole. If there are multiple wells, use the depth of the deepest well.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/driller,Driller,Driller,Name of contracting company that drilled the borehole.,,,def/primitive-type/string,literal,,
class/attribute/drillertotaldepth,DrillerTotalDepth,Driller Total Depth,"Length of borehole from borehole origin to bottom of borehole. If there are multiple wells, use the depth of the deepest well.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/drillertotaldepth-ft,DrillerTotalDepth_ft,Driller Total Depth ft,"Length of borehole from borehole origin to bottom of borehole. If there are multiple wells, use the depth of the deepest well.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/drillingfluid,DrillingFluid,Drilling Fluid,Name or type of fluid used during drilling.,,,,class/value-domain/narrative-text,,
class/attribute/drillingmethod,DrillingMethod,Drilling Method,Basic drilling technology used in the creation of the borehole. Separate multiple drilling methods with the pipe   |  character.,,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
class/attribute/drillpipeinternaldiameter-in,DrillPipeInternalDiameter_in,Drill Pipe Internal Diameter in,The internal diameter of the pipe in decimal inches.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/drillpipelength,DrillPipeLength,Drill Pipe Length,Total length in decimal format of the Drill pipe in the hole.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/drive,Drive,Drive,The reservoir drive mechanism supplies the energy that moves the fluid located in a subsurface reservoir container toward the wellbore as fluid is removed near the wellbore. Common drive mechanisms: 1. Water drive; 2. Gas expansion; 3. Solution gas (dissolved gas drive); 4. Rock or compaction drive (geopressure); 5. Gravity drainage; 6. thermal expansion... etc.  (http://wiki.aapg.org/Reservoir_drive_mechanisms),,,def/primitive-type/string,class/value-domain/narrative-text,,
class/attribute/drysampleconductivity,DrySampleConductivity,Dry Sample Conductivity,Measured conductivity value of dry rock core or sample.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/durationdays,DurationDays,Duration Days,"Duration of interval described in this record. For interoperability, this interval should be reported in decimal days.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/effectivecrosssectionarea-m2,EffectiveCrossSectionArea_m2,Effective Cross Section Area m2,"Report estimated effective area of cross section of recharge here; use square meters, m2.",,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/effectiveporosity,EffectivePorosity,Effective Porosity,"The percentage of pore volume or void space, or that volume within rock that can contain fluids.",,,def/primitive-type/real-number,class/value-domain/percent-of-whole,,
class/attribute/effectivevolume-m3,EffectiveVolume_m3,Effective Volume m3,Report estimated volume of mine void space here. Report in cubic meters (m3). Effective volume is the total volume of the void space.,,,def/primitive-type/real-number,class/value-domain/positive-decimal-number,,
class/attribute/elevation,Elevation,Elevation,"Elevation of the well. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).  ",,,def/primitive-type/real-number,,,
class/attribute/elevationbottomopenzone-msl,ElevationBottomOpenZone_msl,Elevation Bottom Open Zone msl,Elevation of the bottom of the interval being tested. Relative to MSL.,,,def/primitive-type/real-number,,,
class/attribute/elevationdatum,ElevationDatum,Elevation Datum,The point of reference against which elevation measurements are made. Best practice: use mean sea level (MSL) as datum.,,,def/primitive-type/string,,,
class/attribute/elevationdatum-m,ElevationDatum_m,Elevation Datum meters,The point of reference against which elevation measurements are made. Best practice: use mean sea level (MSL) as datum.,,,def/primitive-type/real-number,class/value-domain/length-meters,,
class/attribute/elevationdf,ElevationDF,Elevation DF,"Elevation at drilling floor for the wellbore. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,decimal number,,
class/attribute/elevation-ft-msl,Elevation_ft_msl,Elevation ft msl,"Elevation at ground level for the feature. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,,,
class/attribute/elevationgl,ElevationGL,Elevation GL,"Elevation of borehole at ground level. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL). If elevation varies, use the average elevation.",,,def/primitive-type/real-number,decimal number,,
class/attribute/elevationgl-ft,ElevationGL_ft,Elevation  Ground Level feet,"Elevation of borehole at ground level. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,decimal number,,
class/attribute/elevationgl-m,ElevationGL_m,Elevation Ground Level meters,Elevation at ground level for the origin of the mine identified by the FeatureURI. Measurement should be made with respect to mean sea level (MSL) and be reported in decimal meters (m).,,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/elevationkb,ElevationKB,Elevation KB,"Elevation at kelly bushing for the borehole. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,decimal number,,
class/attribute/elevation-m,Elevation_m,Elevation m,"Elevation, in meters, at ground level for the feature. 3 decimal places is recommended by the USGS (OFR 02-463, p.6). Elevations should be reported relative to mean sea level (MSL).",,,def/primitive-type/real-number,class/value-domain/length-meters,def/units-of-measure/meter,
class/attribute/elevationtopopenzone-msl,ElevationTopOpenZone_msl,Elevation Top Open Zone msl,Elevation of the top of the interval being tested. Relative to MSL.,,,def/primitive-type/real-number,,,
class/attribute/elevationtype,ElevationType,Elevation Type,"Specify where value in elevation field refers to. Valid terms include: GL-Ground level, KB - Kelly bushing, DF - Derrick floor, well collar, other, unknown.",,,def/primitive-type/term,class/value-domain/controlled-vocabulary,,
